model,split_seed,feature,importance_mean,importance_std
Logistic Regression,3,BloodPressure,0.00032853251460795985,0.01691944322777411
Logistic Regression,3,SkinThickness,0.02023140190833749,0.012989014172923167
Logistic Regression,3,Insulin,0.001151609290900546,0.0063223677358795
Logistic Regression,3,BMI,0.09260330531081344,0.04190737426991871
Logistic Regression,3,DiabetesPedigreeFunction,0.01590340341295725,0.02297451562208646
Logistic Regression,3,Age,0.0051550490272810594,0.010715930931253
SVM (RBF),3,Pregnancies,-0.004770152334122901,0.03464170660297464
SVM (RBF),3,Glucose,0.1609797586954242,0.04993799195578127
SVM (RBF),3,BloodPressure,-0.04308071730041195,0.017194504161304767
SVM (RBF),3,SkinThickness,-0.0016272665044627802,0.011587253467540033
SVM (RBF),3,Insulin,-0.009292865616007376,0.01887234258399224
SVM (RBF),3,BMI,0.032119598054208456,0.03787428438989437
SVM (RBF),3,DiabetesPedigreeFunction,0.0013540906606885673,0.02024807098873004
SVM (RBF),3,Age,0.002825824230280035,0.02348286672117705
Random Forest,3,Pregnancies,0.0016877713696543339,0.020743718841756235
Random Forest,3,Glucose,0.16241247871307116,0.05165352439176305
Random Forest,3,BloodPressure,-0.01634099200236149,0.021778415001466205
Random Forest,3,SkinThickness,-0.007272820519140551,0.01642526032734153
Random Forest,3,Insulin,-0.0013149460417238672,0.024889054586338794
Random Forest,3,BMI,0.05268545324819448,0.04437377050923212
Random Forest,3,DiabetesPedigreeFunction,0.009124373098546239,0.02375822742518465
Random Forest,3,Age,0.03732863072553362,0.03223480247655163
KNN,3,Pregnancies,0.009499653898771358,0.03172558374428566
KNN,3,Glucose,0.09954894186239055,0.03324089302129596
KNN,3,BloodPressure,-0.0032933239605386706,0.027302004030378732
KNN,3,SkinThickness,0.0032597514893880335,0.026820027839355675
KNN,3,Insulin,0.021538747224708055,0.026206868708576903
KNN,3,BMI,0.05999103246143579,0.03700964680190812
KNN,3,DiabetesPedigreeFunction,0.013480189071625974,0.02280625509619117
KNN,3,Age,0.022028180718401093,0.03299283073476394
Logistic Regression,4,Pregnancies,0.029069816312564348,0.02279364222745022
Logistic Regression,4,Glucose,0.1469304552216127,0.06547861572085847
Logistic Regression,4,BloodPressure,-0.010626487165881153,0.007514063917189921
Logistic Regression,4,SkinThickness,-0.00018809145947216906,0.001012903508072091
Logistic Regression,4,Insulin,-0.009670608555452183,0.014028018246546894
Logistic Regression,4,BMI,0.03561123428979902,0.027880445363275535
Logistic Regression,4,DiabetesPedigreeFunction,-0.002502013391048911,0.017539229880666612
Logistic Regression,4,Age,0.015131633824187014,0.010130132215388813
SVM (RBF),4,Pregnancies,-0.009694321503645964,0.028279712952414587
SVM (RBF),4,Glucose,0.12994313691473927,0.04909113670415354
SVM (RBF),4,BloodPressure,-0.022356701778899125,0.02420103606236068
SVM (RBF),4,SkinThickness,-0.013634507267062449,0.020239670777651916
SVM (RBF),4,Insulin,0.03380237670167886,0.018649065467061906
SVM (RBF),4,BMI,0.03476723367867929,0.028087654435476787
SVM (RBF),4,DiabetesPedigreeFunction,-0.014021277450453265,0.03310779251863594
SVM (RBF),4,Age,0.021040846943285747,0.032084869557413895
Random Forest,4,Pregnancies,0.04233280514910701,0.01951228044127403
Random Forest,4,Glucose,0.12897102310895184,0.051551609718519076
Random Forest,4,BloodPressure,-0.026356095973727164,0.02501362198756012
Random Forest,4,SkinThickness,-0.0005888981695860977,0.01826635789066107
Random Forest,4,Insulin,0.015020579989495504,0.019286027033014564
Random Forest,4,BMI,0.03364901055868903,0.03231191031173602
Random Forest,4,DiabetesPedigreeFunction,0.001807527489136762,0.020482825612382658
Random Forest,4,Age,0.0248810775532758,0.022142165008239664
KNN,4,Pregnancies,0.0030858139253178633,0.025203843076384635
KNN,4,Glucose,0.15477184259545465,0.05023693751536685
KNN,4,BloodPressure,-7.421202789145523e-05,0.022356533970431112
KNN,4,SkinThickness,-0.01908760652924996,0.0244164434265917
KNN,4,Insulin,0.024557799798970645,0.01660860171252305
KNN,4,BMI,0.04353977604028309,0.03100282894391683
KNN,4,DiabetesPedigreeFunction,-0.029774973084382535,0.027913714985053708
KNN,4,Age,0.05860004823705426,0.031798697816117785
